,Name,Description,Address,Neighborhoods,Rental listings,Year built,Structure,Web,Leasing Manager,Manager Phone,Phone
799,290 East 2nd Street,290 East 2nd Street is a   low-rise  walk-up  building.,"290 East 2nd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
800,290 West 11th Street,290 West 11th Street is a   low-rise  landmark walk-up  building.,"290 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,4 floors 18 units,,,,
801,290 West 12th Street,290 West 12th Street is a  post-war  mid-rise  landmark elevator  building.,"290 West 12th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1965,6 floors 40 units,,9300 Realty Inc,212-228-9300,
802,296 West 11th Street,296 West 11th Street is a   low-rise  landmark walk-up  building.,"296 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
803,299 East 8th Street,299 East 8th Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.,"299 East 8th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 30 units,,,,
804,3 Clinton Street,3 Clinton Street is a   low-rise  walk-up  building.,"3 Clinton Street,  New York, NY 10002","Lower East Side, Alphabet City, East Village,   Manhattan",(no current listings),1920  (approximate),5 floors 16 units,,Vickers Realty Ltd,,212-628-2313
805,30 Charlton Street,30 Charlton Street is a   mid-rise  landmark elevator  building.,"30 Charlton Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1920,6 floors 86 units,,GPG Management,212-288-1999,
806,30 Christopher Street,30 Christopher Street is a   mid-rise  landmark elevator  building.   The building's amenities include a laundry.  Many apartments have unique layouts.,"30 Christopher Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1930  (approximate),7 floors 69 units,,"ELK Investors, Inc",212-371-5050,
807,30 East 14th Street,30 East 14th Street is a   low-rise  walk-up  building.,"30 East 14th Street,  New York, NY 10003","Central Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
808,30 Horatio Street,30 Horatio Street is a   low-rise  landmark elevator  building.,"30 Horatio Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,3 floors 47 units,,H.M. Village Realty,212-255-2600,
809,30 St. Marks Place,30 St. Marks Place is a   mid-rise  walk-up  building.,"30 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
810,300 East 5th Street,300 East 5th Street is a   low-rise  landmark walk-up  building.,"300 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 15 units,,,,
811,300 West 12th Street,300 West 12th Street is a   mid-rise  landmark elevator  building.   The building's amenities include a laundry.,"300 West 12th Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1920,6 floors 54 units,,,,
812,301 East 12th Street,301 East 12th Street is a   low-rise  walk-up  building.,"301 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,4 floors 21 units,,,,
813,302 East 3rd Street,302 East 3rd Street is a   low-rise  walk-up  building.,"302 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 21 units,,,,
814,302 Mott Street,302 Mott Street is a   mid-rise  walk-up  building.,"302 Mott Street,  New York, NY 10012","NoHo,   Manhattan",(no current listings),1905,6 floors 48 units,,,,
815,303 Broome Street,303 Broome Street is a   mid-rise  walk-up  building.,"303 Broome Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),1900,6 floors 22 units,,,,
816,303 East 12th Street,303 East 12th Street is a   low-rise  walk-up  building.,"303 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,4 floors 21 units,,,,
817,303 West 11th Street,303 West 11th Street is a   low-rise  landmark walk-up  building.,"303 West 11th Street,  New York, NY 10014","West Village,   Manhattan",1 no-fee ad,1900,4 floors 16 units,,"Gatsby Enterprises, LLC",,
818,304-310 West 14th Street,304-310 West 14th Street is a   mid-rise  walk-up  building.   The building's amenities include a laundry.,"304-310 West 14th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,6 floors 66 units,,S.W. Management / City & Suburban,212-517-3000,
819,305 East 11th Street,305 East 11th Street is a  mid-twentieth century  low-rise  elevator  building.,"305 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1940,5 floors 89 units,,,,
820,305 Spring Street,305 Spring Street is a   low-rise  elevator  building.,"305 Spring Street,  New York, NY 10013","Hudson Square, SoHo,   Manhattan",2 no-fee ads,1920,5 floors 16 units,,,,
821,305 West 13th Street,305 West 13th Street is a  post-war  mid-rise  elevator  building.,"305 West 13th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1964,6 floors 77 units,,,,
822,307 Mott Street,307 Mott Street is a  nineteenth century  low-rise  landmark walk-up  building.,"307 Mott Street,  New York, NY 10012","NoHo,   Manhattan",(no current listings),1880,5 floors 61 units,,Icon Realty Management LLC,212-675-7100,
823,309 East 5th Street,309 East 5th Street is a   mid-rise  walk-up  building.,"309 East 5th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,6 floors 34 units,,"R.A. Cohen & Associates, Inc",212-972-5900,
824,309 East 8th Street,309 East 8th Street is a   mid-rise  walk-up  building.,"309 East 8th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",1 no-fee ad,1900,6 floors 17 units,,9300 Realty Inc,212-228-9300,
825,309 East 9th Street,309 East 9th Street is a   low-rise  walk-up  building.,"309 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
826,309 East Houston Street,309 East Houston Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"309 East Houston Street,  New York, NY 10002","Lower East Side,   Manhattan",(no current listings),1920,6 floors 28 units,,,,
827,309 Mott Street,309 Mott Street is a  nineteenth century  low-rise  landmark walk-up  building.,"309 Mott Street,  New York, NY 10012","NoHo,   Manhattan",(no current listings),1880,5 floors 61 units,,Icon Realty Management LLC,212-675-7100,
828,31 Avenue C,31 Avenue C is a   mid-rise  walk-up  building.,"31 Avenue C,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
829,31 Bank Street,31 Bank Street is a   low-rise  landmark walk-up  building.,"31 Bank Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
830,31 Bedford Street,31 Bedford Street is a   mid-rise  landmark walk-up  building.,"31 Bedford Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,6 floors 36 units,,,,
831,31 East 1st Street,31 East 1st Street is a   low-rise  walk-up  building.,"31 East 1st Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 21 units,,"Big Apple Management, LLC",212-947-5656,
832,31 Prince Street,31 Prince Street is a   mid-rise  walk-up  building.,"31 Prince Street,  New York, NY 10012","NoLiTa,   Manhattan",1 no-fee ad,1910,6 floors 16 units,,,,
833,31 St. Marks Place,31 St. Marks Place is a   low-rise  walk-up  building.,"31 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,4 floors 16 units,,,,
834,31-33 Bedford Street,31-33 Bedford Street is a   mid-rise  walk-up  building.,"31-33 Bedford Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),,6 floors 36 units,,JR Properties,,212-463-9970
835,310 East 12th Street,310 East 12th Street is a  mid-twentieth century  low-rise  elevator  building.,"310 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1940,5 floors 89 units,,,,
836,310 East 4th Street,310 East 4th Street is a  mid-twentieth century  mid-rise  elevator  building.,"310 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1939,6 floors 16 units,,,,
837,310 East 6th Street,310 East 6th Street is a   low-rise  landmark walk-up  building.,"310 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 24 units,,,,
838,310 West 4th Street,310 West 4th Street is a   low-rise  landmark walk-up  building.,"310 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1905,5 floors 15 units,,,,
839,312 East 6th Street,312 East 6th Street is a   low-rise  landmark walk-up  building.,"312 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
840,312 East 9th Street,312 East 9th Street is a   mid-rise  walk-up  building.,"312 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,6 floors 16 units,,,,
841,314 East 6th Street,314 East 6th Street is a   low-rise  landmark walk-up  building.,"314 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
842,314 East 9th Street,314 East 9th Street is a   mid-rise  walk-up  building.,"314 East 9th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1910,6 floors 16 units,,,,
843,315 East 5th Street,315 East 5th Street is a  mid-twentieth century  mid-rise  elevator  building.,"315 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1940,6 floors 47 units,,,,
844,316 East 3rd Street,316 East 3rd Street is a  modern  mid-rise  elevator  building.,"316 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),2012,7 floors 33 units,,,,
845,316 East 6th Street,316 East 6th Street is a   low-rise  landmark walk-up  building.,"316 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
846,316 Mott Street,316 Mott Street is a  turn-of-the-century  mid-rise  landmark walk-up  building.,"316 Mott Street,  New York, NY 10012","NoHo,   Manhattan",(no current listings),1900,7 floors 21 units,,,,
847,316 West 14th Street,316 West 14th Street is a   low-rise  walk-up  building.,"316 West 14th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,4 floors 20 units,,Icon Realty Management LLC,212-675-7100,
848,317 East 3rd Street,317 East 3rd Street is a   mid-rise  walk-up  building.,"317 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1925,6 floors 35 units,,,,
849,318 East 11th Street,318 East 11th Street is a   mid-rise  walk-up  building.,"318 East 11th Street,  New York, NY 10003","East Village,   Manhattan",1 fee ad,1900,6 floors 16 units,,Westminster City Living,212-533-2224,
850,319 East 5th Street,319 East 5th Street is a   low-rise  walk-up  building.,"319 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 23 units,,,,
851,319 East 8th Street,319 East 8th Street is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.,"319 East 8th Street,  New York, NY 10009","East Village,   Manhattan",(no current listings),2000,6 floors 15 units,,"The Downtown, LLC",,
852,319 West 13th Street,319 West 13th Street is a   low-rise  elevator  building.,"319 West 13th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1925,5 floors 19 units,,,,
853,32 Avenue B,32 Avenue B is a   low-rise  walk-up  building.,"32 Avenue B,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1920,5 floors 16 units,,,,
854,32 Cornelia Street,32 Cornelia Street is a  post-war  low-rise  walk-up  building.,"32 Cornelia Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1960,4 floors 26 units,,,,
855,32 East 7th Street,32 East 7th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"32 East 7th Street,  New York, NY 10003","East Village,   Manhattan",4 no-fee ads,1900,6 floors 22 units,,Jakobson Properties,212-533-1300,
856,32 Grand Street,32 Grand Street is a   mid-rise  walk-up  building.,"32 Grand Street,  New York, NY 10013","SoHo,   Manhattan",(no current listings),1900,6 floors 40 units,,,,
857,32 Jones Street,32 Jones Street is a   mid-rise  landmark walk-up  building.,"32 Jones Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1930,6 floors 20 units,,,,
858,32 Mott Street,32 Mott Street is a   mid-rise  walk-up  building.,"32 Mott Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1910,6 floors 20 units,,,,
859,32 St. Marks Place,32 St. Marks Place is a   low-rise  walk-up  building.,"32 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
860,320 East 11th Street,320 East 11th Street is a   low-rise  walk-up  building.,"320 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,4 floors 36 units,,,,
861,320 East 6th Street,320 East 6th Street is a   low-rise  landmark walk-up  building.,"320 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 17 units,,"AAG Management, Inc",212-564-7250,
862,320 East 9th Street,320 East 9th Street is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.,"320 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1988,7 floors 22 units,,"Bettina Equities Company, LLC",212-744-3330  212-861-6043 fax,
863,The 321,The 321 is a  modern  mid-rise  elevator  building.   The building's amenities include a laundry.,"321 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),2014,6 floors 30 units,,,,
864,321 East 12th Street,321 East 12th Street is a   mid-rise  walk-up  building.,"321 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 36 units,,,,
865,321 West 11th Street,321 West 11th Street is a   low-rise  landmark walk-up  building.,"321 West 11th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 18 units,,,,
866,322 East 6th Street,322 East 6th Street is a   low-rise  landmark walk-up  building.,"322 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,"AAG Management, Inc",212-564-7250,
867,322 West 14th Street,322 West 14th Street is a   low-rise  walk-up  building.,"322 West 14th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 19 units,,Icon Realty Management LLC,212-675-7100,
868,323 East 9th Street,323 East 9th Street is a   low-rise  walk-up  building.,"323 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 15 units,,,,
869,323 West 4th Street,323 West 4th Street is a   low-rise  landmark walk-up  building.,"323 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1919,5 floors 19 units,,Brodsky Organization,212-315-5555  212-315-5963 fax,
870,323-325 Bleecker Street,323-325 Bleecker Street is a   mid-rise  landmark walk-up  building.,"323-325 Bleecker Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
871,324 East 13th Street,324 East 13th Street is a   low-rise  walk-up  building.,"324 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
872,324 East 14th Street,324 East 14th Street is a   low-rise  walk-up  building.,"324 East 14th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1930,4 floors 15 units,,,,
873,324 East 6th Street,324 East 6th Street is a   low-rise  landmark walk-up  building.,"324 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,"AAG Management, Inc",212-564-7250,
874,324 Grand Street,324 Grand Street is a  modern  mid-rise  elevator  building.,"324 Grand Street,  New York, NY 10002","Chinatown,   Manhattan",(no current listings),2013,7 floors 20 units,,,,
875,325 East 10th Street,325 East 10th Street is a   low-rise  walk-up  building.,"325 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 18 units,,Westminster City Living,212-533-2224,
876,325 East 5th Street,325 East 5th Street is a   low-rise  walk-up  building.,"325 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 21 units,,9300 Realty Inc,212-228-9300,
877,325 West 4th Street,325 West 4th Street is a   low-rise  landmark walk-up  building.,"325 West 4th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 18 units,,,,
878,326 East 13th Street,326 East 13th Street is a   low-rise  walk-up  building.,"326 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
879,326 East 6th Street,326 East 6th Street is a   low-rise  landmark walk-up  building.,"326 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 16 units,,"AAG Management, Inc",212-564-7250,
880,327 East 3rd Street,327 East 3rd Street is a   mid-rise  walk-up  building.,"327 East 3rd Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1920,6 floors 25 units,,,,
881,328 East 14th Street,328 East 14th Street is a   mid-rise  walk-up  building.,"328 East 14th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 33 units,,,,
882,328 East 6th Street,328 East 6th Street is a   low-rise  landmark walk-up  building.,"328 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
883,329 East 13th Street,329 East 13th Street is a   mid-rise  walk-up  building.,"329 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,6 floors 24 units,,,,
884,329 East 6th Street,329 East 6th Street is a   low-rise  landmark walk-up  building.,"329 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
885,33 Gold Street,33 Gold Street is a  turn-of-the-century  mid-rise  doorman elevator  building.   The building's amenities include a laundry.  The apartments  have  high ceilings.,"33 Gold Street,  New York, NY 10038","Financial District,   Manhattan",(no current listings),1905  (approximate),8 floors 196 units,,,,
886,33 Henry Street,33 Henry Street is a   low-rise  walk-up  building.,"33 Henry Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,5 floors 18 units,,,,
887,33-37 Grove Street,33-37 Grove Street is a   low-rise  landmark elevator  building.,"33-37 Grove Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1920,5 floors 65 units,,,,
888,330 East 11th Street,330 East 11th Street is a   low-rise  walk-up  building.,"330 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
889,331 East 5th Street,331 East 5th Street is a   low-rise  walk-up  building.,"331 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 24 units,,,,
890,332 East 4th Street,332 East 4th Street is a   mid-rise  walk-up  building.,"332 East 4th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1920,6 floors 28 units,,,,
891,332 East 9th Street,332 East 9th Street is a   low-rise  walk-up  building.,"332 East 9th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,1920,5 floors 20 units,,,,
892,333 East 5th Street,333 East 5th Street is a   low-rise  walk-up  building.,"333 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 24 units,,,,
893,334 East 9th Street,334 East 9th Street is a   low-rise  walk-up  building.,"334 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,5 floors 20 units,,,,
894,335 East 13th Street,335 East 13th Street is a   low-rise  walk-up  building.,"335 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1910,5 floors 15 units,,,,
895,335 East 5th Street,335 East 5th Street is a   low-rise  walk-up  building.,"335 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
896,336 East 13th Street,336 East 13th Street is a   mid-rise  walk-up  building.,"336 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 34 units,,,,
897,336 East 5th Street,336 East 5th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"336 East 5th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1900,6 floors 22 units,,,,
898,337 East 5th Street,337 East 5th Street is a   low-rise  walk-up  building.,"337 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 19 units,,,,
899,338 East 11th Street,338 East 11th Street is a   low-rise  walk-up  building.,"338 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 19 units,,Westminster City Living,212-533-2224,
900,338 East 13th Street,338 East 13th Street is a   low-rise  walk-up  building.,"338 East 13th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,1900,5 floors 20 units,,,,
901,338 East 14th Street,338 East 14th Street is a   low-rise  walk-up  building.,"338 East 14th Street,  New York, NY 10003","East Village,   Manhattan",1 no-fee ad,1920,5 floors 17 units,,,,
902,339 East 12th Street,339 East 12th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"339 East 12th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 37 units,,,,
903,339 East 9th Street,339 East 9th Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"339 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 23 units,,,,
904,34 East 7th Street,34 East 7th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.,"34 East 7th Street,  New York, NY 10003","East Village,   Manhattan",2 no-fee ads,1900,6 floors 22 units,,Jakobson Properties,212-533-1300,
905,34 Mott Street,34 Mott Street is a   mid-rise  walk-up  building.,"34 Mott Street,  New York, NY 10013","Chinatown,   Manhattan",(no current listings),1920,6 floors 20 units,,,,
906,34 St. Marks Place,34 St. Marks Place is a   low-rise  walk-up  building.,"34 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
907,34 Watts Street,34 Watts Street is a   mid-rise  walk-up  building.,"34 Watts Street,  New York, NY 10013","SoHo,   Manhattan",(no current listings),1900,6 floors 30 units,,,,
908,340 East 11th Street,340 East 11th Street is a   low-rise  walk-up  building.,"340 East 11th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,Westminster City Living,212-533-2224,
909,340 East 13th Street,340 East 13th Street is a   low-rise  walk-up  building.    The apartments  have  high ceilings.,"340 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
910,341 East 6th Street,341 East 6th Street is a   low-rise  landmark walk-up  building.,"341 East 6th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
911,341 West 11th street,341 West 11th street is a  post-war  mid-rise  landmark elevator  building.   The building's amenities include a laundry.,"341 West 11th street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1965,6 floors 63 units,,,,
912,342 East 13th Street,342 East 13th Street is a   low-rise  walk-up  building.,"342 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
913,343 East 5th Street,343 East 5th Street is a   mid-rise  walk-up  building.,"343 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 28 units,,,,
914,344 East 9th Street,344 East 9th Street is a   low-rise  walk-up  building.,"344 East 9th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,5 floors 20 units,,,,
915,344 West 14th Street,344 West 14th Street is a   mid-rise  walk-up  building.,"344 West 14th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,6 floors 20 units,,,,
916,345 East 12th Street,345 East 12th Street is a   mid-rise  walk-up  building.    The apartments  have  high ceilings.  Rent includes heat and hot water.,"345 East 12th Street,  New York, NY 10003","East Village,   Manhattan",1 fee ad,1920,6 floors 37 units,,,,
917,345 East 5th Street,345 East 5th Street is a   mid-rise  walk-up  building.,"345 East 5th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 28 units,,9300 Realty Inc,212-228-9300,
918,346 East 10th Street,346 East 10th Street is a   low-rise  walk-up  building.,"346 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1900,5 floors 20 units,,,,
919,346 East 13th Street,346 East 13th Street is a   mid-rise  walk-up  building.,"346 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1920,6 floors 24 units,,East Village Property Management,212-505-2499  212-505-2569 fax,
920,346 East 9th Stree,346 East 9th Stree is a   low-rise  walk-up  building.,"346 East 9th Stree,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 21 units,,,,
921,35 Bedford Street,35 Bedford Street is a   mid-rise  landmark walk-up  building.,"35 Bedford Street,  New York, NY 10014","Central Village,   Manhattan",(no current listings),1900,6 floors 33 units,,,,
922,35 Catherine Street,35 Catherine Street is a   mid-rise  walk-up  building.,"35 Catherine Street,  New York, NY 10038","Chinatown, Two Bridges,   Manhattan",(no current listings),1910,6 floors 16 units,,,,
923,35 Christopher Street,35 Christopher Street is a   mid-rise  landmark walk-up  building.,"35 Christopher Street,  New York, NY 10014","West Village, Central Village,   Manhattan",(no current listings),1900,6 floors 24 units,,,,
924,35 Grove Street,35 Grove Street is a   low-rise  landmark elevator  building.,"35 Grove Street,  New York, NY 10014","West Village,   Manhattan",2 no-fee ads,1920,5 floors 65 units,,,,
925,35 Henry Street,35 Henry Street is a   mid-rise  walk-up  building.,"35 Henry Street,  New York, NY 10002","Chinatown, Two Bridges,   Manhattan",(no current listings),1900,6 floors 18 units,,,,
926,350 West 12th Street,350 West 12th Street is a   low-rise  landmark walk-up  building.,"350 West 12th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1915,5 floors 16 units,,,,
927,352 West 12th Street,352 West 12th Street is a   low-rise  landmark walk-up  building.,"352 West 12th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1915,5 floors 16 units,,,,
928,354 East 13th Street,354 East 13th Street is a   low-rise  walk-up  building.,"354 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
929,354 West 12th Street,354 West 12th Street is a   low-rise  landmark walk-up  building.,"354 West 12th Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1915,5 floors 16 units,,,,
930,356 East 13th Street,356 East 13th Street is a   low-rise  walk-up  building.,"356 East 13th Street,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,5 floors 16 units,,,,
931,358-360 Broome Street,358-360 Broome Street is a   mid-rise  walk-up  building.,"358 Broome Street,  360 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",1 fee ad,1900,6 floors 34 units,,,,
932,36 Horatio Street,36 Horatio Street is a   low-rise  landmark walk-up  building.,"36 Horatio Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1910,5 floors 16 units,,,,
933,36 Morton Street,36 Morton Street is a   low-rise  landmark walk-up  building.,"36 Morton Street,  New York, NY 10014","West Village,   Manhattan",(no current listings),1925,5 floors 15 units,,Vickers Realty Ltd,,212-628-2313
934,36 St. Marks Place,36 St. Marks Place is a   mid-rise  landmark walk-up  building.,"36 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 20 units,,,,
935,361 East 10th Street,361 East 10th Street is a   mid-rise  elevator  building.,"361 East 10th Street,  New York, NY 10009","Alphabet City, East Village,   Manhattan",(no current listings),1912,6 floors 38 units,,,,
936,362 Broome Street,362 Broome Street is a   low-rise  walk-up  building.,"362 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,5 floors 22 units,,,,
937,365 Broome Street,365 Broome Street is a   mid-rise  walk-up  building.,"365 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 50 units,,,,
938,366 Broome Street,366 Broome Street is a   low-rise  walk-up  building.,"366 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1905,5 floors 22 units,,,,
939,369 Broome Street,369 Broome Street is a   mid-rise  walk-up  building.,"369 Broome Street,  New York, NY 10013","Little Italy,   Manhattan",(no current listings),1900,6 floors 50 units,,,,
940,37 1/2 St. Marks Place,37 1/2 St. Marks Place is a   mid-rise  walk-up  building.,"37 1/2 St. Marks Place,  New York, NY 10003","East Village,   Manhattan",(no current listings),1900,6 floors 15 units,,,,
941,37 King Street,37 King Street is a  mid-twentieth century  low-rise  landmark elevator  building.,"37 King Street,  New York, NY 10014","Hudson Square, SoHo,   Manhattan",(no current listings),1937,5 floors 40 units,,,,
